,Correlation,Noise,Name,Length
780,0.6899672212381452,smooth,Curve 78,Length 100
781,0.9250432605799777,0.05,Curve 78,Length 100
782,0.6301019887750503,0.1,Curve 78,Length 100
783,0.5842106920008876,0.15,Curve 78,Length 100
784,0.7618992239084387,0.2,Curve 78,Length 100
790,0.5312509349391202,smooth,Curve 79,Length 100
791,0.7337817110176699,0.05,Curve 79,Length 100
792,0.7366670717974994,0.1,Curve 79,Length 100
793,0.5866448015058527,0.15,Curve 79,Length 100
794,0.5325487228126793,0.2,Curve 79,Length 100
800,0.7237705310679369,smooth,Curve 80,Length 100
801,0.867238656708904,0.05,Curve 80,Length 100
802,0.7561845438561412,0.1,Curve 80,Length 100
803,0.7722040640507974,0.15,Curve 80,Length 100
804,0.6861198923953284,0.2,Curve 80,Length 100
810,0.6873169083600181,smooth,Curve 81,Length 100
811,0.8749268574530027,0.05,Curve 81,Length 100
812,0.6980176716561808,0.1,Curve 81,Length 100
813,0.4781724802793913,0.15,Curve 81,Length 100
814,0.6632230732434424,0.2,Curve 81,Length 100
820,0.582726081010752,smooth,Curve 82,Length 100
821,0.9549614641102524,0.05,Curve 82,Length 100
822,0.8194417847700594,0.1,Curve 82,Length 100
823,0.7715786343600916,0.15,Curve 82,Length 100
824,0.6132331562865135,0.2,Curve 82,Length 100
830,0.3644141591989439,smooth,Curve 83,Length 100
831,0.836078508742753,0.05,Curve 83,Length 100
832,0.701002705553314,0.1,Curve 83,Length 100
833,0.539188688817947,0.15,Curve 83,Length 100
834,0.4366866747496781,0.2,Curve 83,Length 100
840,0.0780137104387995,smooth,Curve 84,Length 100
841,0.7064064310836864,0.05,Curve 84,Length 100
842,0.6695776586849606,0.1,Curve 84,Length 100
843,0.4098141555461331,0.15,Curve 84,Length 100
844,0.3764371364510315,0.2,Curve 84,Length 100
850,0.7103929871153639,smooth,Curve 85,Length 100
851,0.7858367752271916,0.05,Curve 85,Length 100
852,0.7805054192859094,0.1,Curve 85,Length 100
853,0.6273385295541996,0.15,Curve 85,Length 100
854,0.6807463247959472,0.2,Curve 85,Length 100
860,0.3772369680045317,smooth,Curve 86,Length 100
861,0.8088611054188115,0.05,Curve 86,Length 100
862,0.5981501018124208,0.1,Curve 86,Length 100
863,0.5531927311174993,0.15,Curve 86,Length 100
864,0.4854728587746564,0.2,Curve 86,Length 100
870,0.578672399766661,smooth,Curve 87,Length 100
871,0.834308638324839,0.05,Curve 87,Length 100
872,0.7078059962426136,0.1,Curve 87,Length 100
873,0.5197371236201886,0.15,Curve 87,Length 100
874,0.5179687498521613,0.2,Curve 87,Length 100
880,0.3827597774043138,smooth,Curve 88,Length 100
881,0.7756806331918479,0.05,Curve 88,Length 100
882,0.6161285866510343,0.1,Curve 88,Length 100
883,0.6290956781750144,0.15,Curve 88,Length 100
884,0.2833529483971392,0.2,Curve 88,Length 100
890,0.4566211825008134,smooth,Curve 89,Length 100
891,0.8533599414346851,0.05,Curve 89,Length 100
892,0.6924755797779969,0.1,Curve 89,Length 100
893,0.6454154919250967,0.15,Curve 89,Length 100
894,0.3519479666796032,0.2,Curve 89,Length 100
900,0.3034780321063247,smooth,Curve 90,Length 100
901,0.7968060334947494,0.05,Curve 90,Length 100
902,0.663521656543286,0.1,Curve 90,Length 100
903,0.507423538292233,0.15,Curve 90,Length 100
904,0.4438590714993511,0.2,Curve 90,Length 100
910,0.5922683954818917,smooth,Curve 91,Length 100
911,0.8060483127153838,0.05,Curve 91,Length 100
