,Name,AMI score,Length,Noise
161,Curve 161,0.538652501121824,Length 200,Smooth
162,Curve 162,0.5670523326363378,Length 200,Smooth
163,Curve 163,0.5308314695151637,Length 200,Smooth
164,Curve 164,0.6558435532971889,Length 200,Smooth
165,Curve 165,0.6648094586827837,Length 200,Smooth
166,Curve 166,0.5385273881549456,Length 200,Smooth
167,Curve 167,0.6704814002844608,Length 200,Smooth
168,Curve 168,0.5401313640540565,Length 200,Smooth
169,Curve 169,0.6035875332232234,Length 200,Smooth
170,Curve 170,0.7533403817256181,Length 200,Smooth
171,Curve 171,0.5718980698800755,Length 200,Smooth
172,Curve 172,0.6264028782380308,Length 200,Smooth
173,Curve 173,0.6114902383721588,Length 200,Smooth
174,Curve 174,0.6460982788400842,Length 200,Smooth
175,Curve 175,0.5450823185930371,Length 200,Smooth
176,Curve 176,0.44335352314110443,Length 200,Smooth
177,Curve 177,0.49257336267927443,Length 200,Smooth
178,Curve 178,0.5518110437715742,Length 200,Smooth
179,Curve 179,0.49261150258201764,Length 200,Smooth
180,Curve 180,0.4721036615279611,Length 200,Smooth
181,Curve 181,0.6500863600237922,Length 200,Smooth
182,Curve 182,0.48131592549499236,Length 200,Smooth
183,Curve 183,0.6139332440098594,Length 200,Smooth
184,Curve 184,0.6256402958768896,Length 200,Smooth
185,Curve 185,0.510913940534324,Length 200,Smooth
186,Curve 186,0.5780440236991379,Length 200,Smooth
187,Curve 187,0.6226828161628231,Length 200,Smooth
188,Curve 188,0.6486496807373582,Length 200,Smooth
189,Curve 189,0.47112485845821983,Length 200,Smooth
190,Curve 190,0.5543525284546883,Length 200,Smooth
191,Curve 191,0.6459628666434863,Length 200,Smooth
192,Curve 192,0.6270399754387752,Length 200,Smooth
193,Curve 193,0.6442106525787898,Length 200,Smooth
194,Curve 194,0.4763038474331473,Length 200,Smooth
195,Curve 195,0.5654231321664148,Length 200,Smooth
196,Curve 196,0.7458532690355433,Length 200,Smooth
197,Curve 197,0.3430467383354681,Length 200,Smooth
198,Curve 198,0.5659927353730414,Length 200,Smooth
199,Curve 199,0.5806484125337406,Length 200,Smooth
0,Curve 0,0.66372049218551,Length 300,Smooth
1,Curve 1,0.6056333787131252,Length 300,Smooth
2,Curve 2,0.5153909196313962,Length 300,Smooth
3,Curve 3,0.6733874404353236,Length 300,Smooth
4,Curve 4,0.5838029933586799,Length 300,Smooth
5,Curve 5,0.7281330214291144,Length 300,Smooth
6,Curve 6,0.5685644134053366,Length 300,Smooth
7,Curve 7,0.49013618538968984,Length 300,Smooth
8,Curve 8,0.6379124641507498,Length 300,Smooth
9,Curve 9,0.6700421084059859,Length 300,Smooth
10,Curve 10,0.7405608524844095,Length 300,Smooth
11,Curve 11,0.551512681268482,Length 300,Smooth
12,Curve 12,0.45412081829887896,Length 300,Smooth
13,Curve 13,0.5880628625968517,Length 300,Smooth
14,Curve 14,0.6642411450413099,Length 300,Smooth
15,Curve 15,0.46792753922775954,Length 300,Smooth
16,Curve 16,0.6566357801483653,Length 300,Smooth
17,Curve 17,0.6237848589851072,Length 300,Smooth
18,Curve 18,0.5940965673040189,Length 300,Smooth
19,Curve 19,0.6435453198089061,Length 300,Smooth
20,Curve 20,0.566279741641883,Length 300,Smooth
21,Curve 21,0.5599677462992897,Length 300,Smooth
22,Curve 22,0.6799630976227349,Length 300,Smooth
23,Curve 23,0.6177931512815176,Length 300,Smooth
24,Curve 24,0.4149918336306241,Length 300,Smooth
25,Curve 25,0.5906680830857981,Length 300,Smooth
26,Curve 26,0.3454986496476798,Length 300,Smooth
27,Curve 27,0.6356841991925734,Length 300,Smooth
28,Curve 28,0.4447562765864892,Length 300,Smooth
29,Curve 29,0.5496539654496073,Length 300,Smooth
30,Curve 30,0.5565779514751972,Length 300,Smooth
31,Curve 31,0.59038525622847,Length 300,Smooth
32,Curve 32,0.6061616214729143,Length 300,Smooth
33,Curve 33,0.40274302651827776,Length 300,Smooth
34,Curve 34,0.5044066151847315,Length 300,Smooth
35,Curve 35,0.5636464387273179,Length 300,Smooth
36,Curve 36,0.6203442757025838,Length 300,Smooth
37,Curve 37,0.4828251809103949,Length 300,Smooth
38,Curve 38,0.6812756912468191,Length 300,Smooth
39,Curve 39,0.5298027906153769,Length 300,Smooth
40,Curve 40,0.48806340502427636,Length 300,Smooth
41,Curve 41,0.5997593604102566,Length 300,Smooth
