,Correlation,Name,Length
1100,0.6859997246475302,Curve 150,Length 300
1102,0.5895928842650233,Curve 151,Length 300
1104,0.5723479933652555,Curve 152,Length 300
1106,0.8302888773506605,Curve 153,Length 300
1108,0.6663305277320664,Curve 154,Length 300
1110,0.6256164190283497,Curve 155,Length 300
1112,0.7745961258900012,Curve 156,Length 300
1114,0.5798768248815904,Curve 157,Length 300
1116,0.6181001278221748,Curve 158,Length 300
1118,0.7502476717127433,Curve 159,Length 300
1120,0.6790404134388217,Curve 160,Length 300
1122,0.4481131412851928,Curve 161,Length 300
1124,0.659586458010732,Curve 162,Length 300
1126,0.5294351398284047,Curve 163,Length 300
1128,0.560352870682805,Curve 164,Length 300
1130,0.5734743028823959,Curve 165,Length 300
1132,0.66071285030543,Curve 166,Length 300
1134,0.6194479091042768,Curve 167,Length 300
1136,0.7096764119640547,Curve 168,Length 300
1138,0.7614673131154573,Curve 169,Length 300
1140,0.5910375328807203,Curve 170,Length 300
1142,0.5591943099179215,Curve 171,Length 300
1144,0.7259941799604924,Curve 172,Length 300
1146,0.5474714073291109,Curve 173,Length 300
1148,0.7020172600645104,Curve 174,Length 300
1150,0.7307888998527836,Curve 175,Length 300
1152,0.4678519190412544,Curve 176,Length 300
1154,0.6715782807693627,Curve 177,Length 300
1156,0.7658396368219605,Curve 178,Length 300
1158,0.4265168361540159,Curve 179,Length 300
1160,0.7986096159601223,Curve 180,Length 300
1162,0.7074999917666024,Curve 181,Length 300
1164,0.667723201041001,Curve 182,Length 300
1166,0.7384543413913063,Curve 183,Length 300
1168,0.5994560900862347,Curve 184,Length 300
1170,0.6916825221250235,Curve 185,Length 300
1172,0.4739834954456791,Curve 186,Length 300
1174,0.6787673247632808,Curve 187,Length 300
1176,0.8026169694134359,Curve 188,Length 300
1178,0.5871023004946448,Curve 189,Length 300
1180,0.514979592045248,Curve 190,Length 300
1182,0.5306192959024497,Curve 191,Length 300
1184,0.7239349288122768,Curve 192,Length 300
1186,0.6039240317868553,Curve 193,Length 300
1188,0.584394224743553,Curve 194,Length 300
1190,0.7464863836831157,Curve 195,Length 300
1192,0.5297539674798789,Curve 196,Length 300
1194,0.7723139441217542,Curve 197,Length 300
1196,0.6240559708436331,Curve 198,Length 300
1198,0.7814641100934471,Curve 199,Length 300
1200,0.6253157574073657,Curve 0,Length 400
1202,0.6353669856080066,Curve 1,Length 400
1204,0.6796241351040794,Curve 2,Length 400
1206,0.5052125385594013,Curve 3,Length 400
1208,0.5191385374436118,Curve 4,Length 400
1210,0.6825524071221486,Curve 5,Length 400
