,Noise,AMI score,Name,Length
507,0.1,0.5912262794000289,Curve 101,Length 100
508,0.15,0.4094833220044249,Curve 101,Length 100
509,0.2,0.5289669322590245,Curve 101,Length 100
510,smooth,0.5075695852623704,Curve 102,Length 100
511,0.05,0.7658898680452054,Curve 102,Length 100
512,0.1,0.554772477278896,Curve 102,Length 100
513,0.15,0.5224063929732758,Curve 102,Length 100
514,0.2,0.4878052128745877,Curve 102,Length 100
515,smooth,0.3066703213715189,Curve 103,Length 100
516,0.05,0.6609580174190299,Curve 103,Length 100
517,0.1,0.4579253219323083,Curve 103,Length 100
518,0.15,0.2763852688268993,Curve 103,Length 100
519,0.2,0.2528250159668802,Curve 103,Length 100
520,smooth,0.676237178941346,Curve 104,Length 100
521,0.05,0.6798281918870352,Curve 104,Length 100
522,0.1,0.6366568172429262,Curve 104,Length 100
523,0.15,0.5510616426366894,Curve 104,Length 100
524,0.2,0.5691436931342697,Curve 104,Length 100
525,smooth,0.55126050119663,Curve 105,Length 100
526,0.05,0.8710018740183908,Curve 105,Length 100
527,0.1,0.7649518779273254,Curve 105,Length 100
528,0.15,0.6689630235738773,Curve 105,Length 100
529,0.2,0.5814039076489026,Curve 105,Length 100
530,smooth,0.652452809323589,Curve 106,Length 100
531,0.05,0.6974487631790922,Curve 106,Length 100
532,0.1,0.6708756948259836,Curve 106,Length 100
533,0.15,0.5478390421941403,Curve 106,Length 100
534,0.2,0.5413807734651984,Curve 106,Length 100
535,smooth,0.4149768351467895,Curve 107,Length 100
536,0.05,0.5694292607001322,Curve 107,Length 100
