id,x,y,z
21,12.21679852,2.98511236,1.66630209
21,12.52092531,2.6788202,1.62189077
21,12.73981188,2.42827675,1.58989633
21,12.82043416,2.15857883,1.80267979
21,12.84272192,2.00296735,1.93758747
21,12.76684768,2.40507189,1.57083713
21,12.90642471,2.38093073,1.29893
22,-4.30352791,-6.66092671,0.04435405
22,-4.17242291,-6.66735169,-0.44061678
22,-4.30525348,-6.62293603,-0.70916608
22,-4.20337163,-6.59335292,-1.05385671
22,-4.00986465,-6.59121422,-1.23941172
22,-3.83752065,-6.57831966,-1.4297095
22,-3.7282197,-6.64603475,-1.16418063
22,-4.10740828,-6.60245323,-1.09083028
22,-3.89372388,-6.67084568,-0.84234584
22,-3.4918462,-6.65549986,-1.28688543
22,-3.67544439,-6.59378778,-1.46449302
22,-3.78101847,-6.47691543,-1.86428039
22,-3.32986409,-6.59896272,-1.63758735
22,-3.02341115,-6.66448012,-1.51639409
22,-2.62249504,-6.70555328,-1.52190183
22,-2.57256318,-6.73924969,-1.38852197
22,-2.11145244,-6.85092231,-0.97483624
22,-2.00966765,-6.85165173,-1.02233928
22,-1.9006966,-6.89437604,-0.75127695
22,-1.66226656,-6.91687332,-0.68270121
23,-11.92493348,-2.32887864,-2.83289862
23,-12.06212827,-2.24814086,-2.75175
23,-12.24224543,-2.0898244,-2.67665662
23,-11.92817272,-2.02496754,-3.0543707
23,-11.65449981,-2.05173169,-3.29143671
23,-11.51021948,-2.06385588,-3.40869634
23,-11.41115206,-1.76190419,-3.65268337
23,-11.09383606,-1.81076922,-3.86688702
23,-10.76564777,-2.11055629,-3.94598013
23,-10.30651997,-2.02907739,-4.28097611
23,-9.86993353,-2.13974995,-4.4796845
23,-9.60473115,-2.20783536,-4.58941695
23,-9.70651972,-2.60089917,-4.32217448
23,-9.20748072,-2.8840795,-4.414483
23,-8.97538779,-2.99446935,-4.46024179
23,-8.59843388,-2.98712967,-4.64691188
23,-8.43665278,-3.12113149,-4.63295378
23,-8.49864366,-3.40971618,-4.39512225
23,-8.48532588,-3.60644708,-4.24185698
23,-8.1324576,-3.5672376,-4.44303942
24,2.97699498,4.73985403,-4.93134454
24,2.58804171,4.77932209,-4.94808957
24,2.02430033,4.97642798,-4.81775016
24,2.12290917,4.9868596,-4.7963054
24,2.05624668,5.17371818,-4.60169562
24,2.22799168,4.99788134,-4.77286029
24,2.31291426,4.90902876,-4.85428095
24,2.29138348,4.81150401,-4.95346541
24,2.90527093,4.64724878,-5.02920759
24,3.03042515,4.29415777,-5.31642172
24,3.07981694,4.25284225,-5.34247271
24,3.33093966,4.53900589,-5.06197944
24,2.62579119,4.69367375,-5.0245131
24,2.73782,4.61223879,-5.08461786
24,3.22034139,4.6002492,-5.024446
24,2.61365381,4.91229446,-4.81264653
24,2.83225224,4.7446434,-4.94802443
24,2.64079255,4.71944761,-4.99833651
24,2.61305824,4.51649103,-5.18597054
24,2.34117224,4.46324003,-5.26395446
25,8.73650664,-1.79261496,5.16767786
25,8.6848955,-1.98029676,5.12070037
25,8.28607632,-2.00710731,5.27321108
25,8.00981895,-2.05657098,5.36015073
25,7.97949181,-1.39503748,5.57994606
25,8.0877668,-1.32718067,5.55748131
25,7.60658059,-1.39766219,5.70802272
25,7.58634962,-1.60452188,5.66015321
25,7.58857809,-1.98751795,5.53652807
25,7.4651891,-2.14754441,5.51867655
25,7.35567806,-2.26460725,5.5086345
25,6.97480151,-2.44361418,5.55578849
25,6.89198578,-2.51824699,5.54829389
25,6.60742092,-2.53817492,5.6252258
25,6.30295023,-2.51829442,5.72069907
25,6.42120609,-3.32148832,5.25925313
25,6.52694504,-3.51556466,5.098093
25,6.30131533,-3.34230966,5.2822649
25,6.32181407,-3.58696657,5.11295781
25,6.26864744,-3.6806232,5.06251199
26,10.07530565,-3.44540889,-3.42800403
26,10.11752566,-3.29158156,-3.54604138
26,9.79769313,-3.01236732,-3.99085773
26,9.75249139,-2.86925687,-4.12184339
26,9.75402229,-3.0207147,-4.01123983
26,9.31852678,-3.17537087,-4.14828693
26,9.2488549,-3.33049621,-4.06478361
26,8.91703487,-3.47887185,-4.12541791
26,8.54783504,-4.02166419,-3.81573665
26,8.22764869,-4.25744659,-3.73504991
26,7.77486474,-4.03877599,-4.19239288
26,7.677053,-4.04314037,-4.23305212
26,7.06646223,-3.94592105,-4.57667837
26,6.77290462,-3.93462949,-4.69581
26,6.56383866,-4.04917009,-4.67260389
26,6.54463581,-4.00223948,-4.71953543
26,6.46969136,-3.86163893,-4.86040309
26,6.22298231,-3.42244092,-5.25409563
26,6.15217469,-3.66029573,-5.11272157
26,5.92079806,-4.02607059,-4.90171329
27,7.32316758,4.28362988,4.15250758
27,7.7172352,4.2641051,3.99104972
27,7.82060037,4.11667331,4.09420972
27,7.9697646,3.8158661,4.3081178
27,8.43060585,3.83348639,4.06639931
27,8.61539719,3.83075099,3.97103005
27,8.72565333,3.57555249,4.14501724
27,8.62426508,3.45206576,4.29985522
27,8.37914678,3.40094567,4.45881636
27,7.83625808,3.22750169,4.8199064
27,7.66673908,2.99391909,5.03405666
27,7.68186456,2.84605484,5.11343437
27,7.63564066,2.69893887,5.2096043
27,7.8345277,1.71865494,5.5408726
27,7.30134333,1.63936585,5.74326353
27,7.24898323,1.55275183,5.78377232
27,7.23534997,1.42806929,5.82005548
27,7.08583281,1.17613517,5.92152425
27,7.83642265,1.33498179,5.6449485
27,7.72014085,1.11890663,5.73130912
28,-2.95174822,6.04613319,3.20407071
28,-2.63696552,6.12197457,3.12778364
28,-1.90009935,6.18994689,3.12761301
28,-2.16584046,6.06368649,3.32550597
28,-1.95495786,5.95081148,3.55420562
28,-2.18640379,5.95572815,3.51200966
28,-2.27204223,5.92558796,3.54920602
28,-2.38162778,5.77443612,3.77330753
28,-2.11884146,5.56731499,4.10884796
28,-2.17187488,5.35193052,4.37922134
