Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
30	0.1201093048	0.9630044843	0.9962416529	[1m0.9783696191[0m	2022-08-21T01:24:16.690
40	0.0783627406	0.9786995516	0.9987417784	0.9780145654	2022-08-21T01:26:08.442
50	0.0541591123	0.9887892377	0.9997334556	0.9768329405	2022-08-21T01:28:00.683
60	0.0286999084	0.9977578475	0.9999826837	0.9771053106	2022-08-21T01:29:52.672
70	0.0159020368	0.9994394619	0.9999995342	0.9770764613	2022-08-21T01:31:44.733
80	0.0118261836	1.0000000000	1.0000000000	0.9767474945	2022-08-21T01:33:37.060
90	0.0047143791	1.0000000000	1.0000000000	0.9764033609	2022-08-21T01:35:29.205
100	0.0038129706	1.0000000000	1.0000000000	0.9764220149	2022-08-21T01:37:21.360
110	0.0017495803	1.0000000000	1.0000000000	0.9757191679	2022-08-21T01:39:13.534
120	0.0009977403	1.0000000000	1.0000000000	0.9760179209	2022-08-21T01:41:05.809
130	0.0005580313	1.0000000000	1.0000000000	0.9755658418	2022-08-21T01:42:57.806
eval AUC = 0.9830986667749562
eval Acc = 0.9093959731543624
# test=3, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1083908081	0.3413677130	0.5487219678	0.5521238087	2022-08-21T01:44:53.485
10	0.2022111714	0.9248878924	0.9879749828	[1m0.9727519176[0m	2022-08-21T01:46:45.921
20	0.1333224326	0.9540358744	0.9948759450	[1m0.9773768226[0m	2022-08-21T01:48:38.223
30	0.0929038376	0.9697309417	0.9977554981	[1m0.9782141772[0m	2022-08-21T01:50:30.697
40	0.0608388036	0.9848654709	0.9992559256	[1m0.9785821526[0m	2022-08-21T01:52:23.251
50	0.0395144373	0.9927130045	0.9999093900	[1m0.9798264384[0m	2022-08-21T01:54:15.867
60	0.0213664137	1.0000000000	1.0000000000	[1m0.9801792471[0m	2022-08-21T01:56:08.250
70	0.0118121654	1.0000000000	1.0000000000	[1m0.9809967742[0m	2022-08-21T01:58:00.612
80	0.0063248049	1.0000000000	1.0000000000	[1m0.9812608705[0m	2022-08-21T01:59:53.181
90	0.0093981652	0.9994394619	1.0000000000	0.9804672214	2022-08-21T02:01:46.023
100	0.0023246359	1.0000000000	1.0000000000	[1m0.9816800897[0m	2022-08-21T02:03:38.270
110	0.0018593445	1.0000000000	1.0000000000	[1m0.9817892418[0m	2022-08-21T02:05:30.693
120	0.0009984662	1.0000000000	1.0000000000	[1m0.9818860314[0m	2022-08-21T02:07:23.108
130	0.0005333088	1.0000000000	1.0000000000	0.9818803937	2022-08-21T02:09:15.765
140	0.0003348447	1.0000000000	1.0000000000	[1m0.9820234081[0m	2022-08-21T02:11:08.285
150	0.0002115488	1.0000000000	1.0000000000	0.9818455616	2022-08-21T02:13:00.920
160	0.0001349882	1.0000000000	1.0000000000	0.9816073006	2022-08-21T02:14:53.659
170	0.0003989483	1.0000000000	1.0000000000	0.9809161434	2022-08-21T02:16:46.248
180	0.0002375843	1.0000000000	1.0000000000	0.9810484638	2022-08-21T02:18:38.627
190	0.0001766823	1.0000000000	1.0000000000	0.9811189211	2022-08-21T02:20:31.106
200	0.0001358842	1.0000000000	1.0000000000	0.9811988910	2022-08-21T02:22:23.652
210	0.0001079640	1.0000000000	1.0000000000	0.9812764949	2022-08-21T02:24:16.466
220	0.0000850354	1.0000000000	1.0000000000	0.9813377554	2022-08-21T02:26:09.307
230	0.0000689451	1.0000000000	1.0000000000	0.9812457211	2022-08-21T02:28:01.823
240	0.0000522658	1.0000000000	1.0000000000	0.9812626292	2022-08-21T02:29:54.318
eval AUC = 0.9717697526744266
eval Acc = 0.8942953020134228
# test=3, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1203920841	0.1135346756	0.1735600532	0.1688651444	2022-08-21T02:31:50.086
10	0.2352245748	0.9121923937	0.9847367680	[1m0.9745637800[0m	2022-08-21T02:33:42.766
20	0.1584429443	0.9395973154	0.9926057696	[1m0.9768188751[0m	2022-08-21T02:35:35.654
30	0.1300310045	0.9496644295	0.9968831549	[1m0.9777655801[0m	2022-08-21T02:37:28.662
40	0.0690638199	0.9832214765	0.9993068611	[1m0.9782562383[0m	2022-08-21T02:39:21.716
50	0.0462432988	0.9882550336	0.9999163674	0.9781986423	2022-08-21T02:41:15.040
60	0.0340137146	0.9921700224	0.9999990737	0.9781649183	2022-08-21T02:43:08.223
70	0.0151564684	1.0000000000	1.0000000000	0.9782076426	2022-08-21T02:45:01.426
80	0.0068394011	1.0000000000	1.0000000000	0.9780956095	2022-08-21T02:46:54.419
90	0.0037221317	1.0000000000	1.0000000000	0.9779875752	2022-08-21T02:48:47.437
100	0.0018138778	1.0000000000	1.0000000000	0.9780468113	2022-08-21T02:50:40.536
110	0.0011150797	1.0000000000	1.0000000000	0.9780915335	2022-08-21T02:52:33.659
